"","swfdr","journal","year"
"1","0.31210781420248","JAMA","2000"
"2","0.314395841791813","JAMA","2001"
"3","0.286404590093544","JAMA","2002"
"4","0.295635710431375","JAMA","2003"
"5","0.314025199102568","JAMA","2004"
"6","0.378316253670154","JAMA","2005"
"7","0.138745963639438","JAMA","2006"
"8","0.286907264541825","JAMA","2007"
"9","0.298769342444091","JAMA","2008"
"10","0.302613811507442","JAMA","2009"
"11","0.266676883333129","JAMA","2010"
"12","0.20884353988291","New England Journal of Medicine","2000"
"13","0.250475135007431","New England Journal of Medicine","2001"
"14","0.214260505587049","New England Journal of Medicine","2002"
"15","0.170220663954939","New England Journal of Medicine","2003"
"16","0.259924492653216","New England Journal of Medicine","2004"
"17","0.231558124363068","New England Journal of Medicine","2005"
"18","0.273000446748949","New England Journal of Medicine","2006"
"19","0.228605397844499","New England Journal of Medicine","2007"
"20","0.216084405675973","New England Journal of Medicine","2008"
"21","0.316249727362712","New England Journal of Medicine","2009"
"22","0.255813352467214","New England Journal of Medicine","2010"
"23","0.308850157399225","BMJ","2000"
"24","0.305271351558947","BMJ","2001"
"25","0.434919546595828","BMJ","2002"
"26","0.316717661103914","BMJ","2003"
"27","0.536682010167185","BMJ","2004"
"28","0.341074707862789","BMJ","2005"
"29","0.491706509039725","BMJ","2006"
"30","0.219723478275288","BMJ","2007"
"31","0.224767889573785","BMJ","2008"
"32","0.34186101214838","BMJ","2009"
"33","0.419658374383737","BMJ","2010"
"34","0.347473996167563","American Journal of Epidemiology","2000"
"35","0.348758746831224","American Journal of Epidemiology","2001"
"36","0.521028205843734","American Journal of Epidemiology","2002"
"37","0.208730527353509","American Journal of Epidemiology","2003"
"38","0.371327312882613","American Journal of Epidemiology","2004"
"39","0.389102348904946","American Journal of Epidemiology","2005"
"40","0.325427106963944","American Journal of Epidemiology","2006"
"41","0.185506877811616","American Journal of Epidemiology","2007"
"42","0.3914023962748","American Journal of Epidemiology","2008"
"43","0.455589818704864","American Journal of Epidemiology","2009"
"44","0.35676676777996","American Journal of Epidemiology","2010"
"45","0.448779998360204","Lancet","2000"
"46","0.466279253386653","Lancet","2001"
"47","0.362893217741739","Lancet","2002"
"48","0.347388960295259","Lancet","2003"
"49","0.372979549178578","Lancet","2004"
"50","0.391203715883345","Lancet","2005"
"51","0.322451062693163","Lancet","2006"
"52","0.378779729462847","Lancet","2007"
"53","0.39646542243674","Lancet","2008"
"54","0.402157939125832","Lancet","2009"
"55","0.285096339416203","Lancet","2010"
